"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","Database"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",179,0.507997739209177,1.65328334213184,0.000164901509452082,0.00164901509452082,0.00124977986111052,2807,"tags=36%, list=19%, signal=29%","BST2/CMKLR1/CCL7/IFI27/CXCL10/CSF2RB/CD40/CD69/GBP6/IRF5/HERC6/HLA-DRB1/TNFSF10/METTL7B/PDE4B/IRF4/SELP/MX1/CCL5/OAS2/RSAD2/ST8SIA4/HLA-B/TXNIP/CDKN1A/CIITA/IFI44L/CASP1/SOD2/FGL2/HLA-A/CXCL11/CFH/DDX60/SAMD9L/VCAM1/MX2/IL15RA/ISG15/RTP4/HELZ2/TNFAIP2/IFNAR2/BATF2/ZNFX1/HLA-G/TOR1B/MVP/XAF1/PNP/STAT4/TAP1/STAT1/LAP3/UPP1/RIPK2/SLC25A28/NAMPT/LYSMD2/FAS/EIF4E3/IRF9/PARP14/BPGM","HALLMARKER"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",170,0.50733957977469,1.64450317498832,8.41660661010157e-05,0.0010520758262627,0.000797362731483307,1505,"tags=32%, list=10%, signal=29%","APOD/PCSK1N/CSF2/CCND2/CMKLR1/ALDH1A2/CXCR4/CCL20/ABCB1/PTPRR/HOXD11/CXCL10/PECAM1/TSPAN7/TNNT2/EPB41L3/CTSS/SPARCL1/NAP1L2/RGS16/SERPINA3/MMP9/ANGPTL4/IL33/BIRC3/TNFRSF1B/ADGRL4/TMEM100/MMP10/FUCA1/FGF9/GYPC/TSPAN13/IGFBP3/GFPT2/ACE/PRKG2/BMP2/EPHB2/CPE/PEG3/TFPI/SCG5/SPON1/PLAU/CFH/TSPAN1/DUSP6/TMEM158/HKDC1/PLAT/DCBLD2/SCN1B/PRDM1","HALLMARKER"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",157,0.505778841719838,1.62390805091267,0.000388153804168202,0.00323461503473502,0.00245149771053601,1639,"tags=32%, list=11%, signal=29%","BST2/CMKLR1/CCL7/CCL20/LAMP3/CXCL10/NPFFR2/TLR1/CD40/NDP/CSF3/CD69/CCRL2/RGS16/CXCL8/CXCL6/TNFSF10/PDE4B/SERPINE1/TNFRSF1B/PTGER2/CCL5/MSR1/PTGIR/PDPN/KCNJ2/ITGB3/BTG2/SCARF1/RNF144B/CD14/SLC1A2/PTPRE/CDKN1A/ABCA1/IL1A/TIMP1/CXCL11/SGMS2/CD82/BDKRB1/DCBLD2/GNA15/SCN1B/IFITM1/AQP9/IRAK2/CD70/SLC31A2/IL15RA","HALLMARKER"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",187,0.462715291299113,1.5108676431389,0.00152206915642748,0.0108719225459106,0.00823977287690066,2433,"tags=33%, list=17%, signal=28%","RRAGD/CXCR4/CCN5/SULT2B1/ACKR3/BCAN/FBP1/PPARGC1A/PDGFB/DTNA/PLAC8/ANGPTL4/GCNT2/B4GALNT2/DPYSL4/EFNA1/STC1/EFNA3/TGM2/SERPINE1/DCN/AK4/IGFBP3/PPP1R3C/CDKN1A/PAM/HS3ST1/AMPD3/ENO2/LOX/P4HA2/PPFIA4/JUN/MXI1/PHKG1/VLDLR/CITED2/GBE1/P4HA1/ERRFI1/WSB1/PGK1/STC2/RORA/TGFBI/IDS/GAA/FAM162A/SRPX/ERO1A/BNIP3L/NEDD4L/ADM/NDRG1/MAFF/TMEM45A/PDK1/PNRC1/CCNG2/MIF/HEXA/CCN2","HALLMARKER"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",94,0.494975285811363,1.47981420132931,0.00873634173231866,0.0477062876617345,0.036156344333104,2561,"tags=29%, list=17%, signal=24%","BST2/IFI27/LAMP3/CXCL10/CCRL2/HERC6/MX1/RSAD2/TXNIP/IFI44L/CASP1/CXCL11/DDX60/SAMD9L/IFITM1/ISG15/RTP4/GMPR/HLA-C/HELZ2/BATF2/SAMD9/TAP1/CD47/LAP3/RIPK2/SLC25A28","HALLMARKER"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",191,0.425918707640064,1.39159920227329,0.0121158170381343,0.0550718956278834,0.0417386998442906,1304,"tags=17%, list=9%, signal=15%","AREG/SLC16A6/CSF2/CCL20/CXCL10/CXCL2/EGR2/ACKR3/CD69/CCRL2/CXCL6/PDE4B/EFNA1/BIRC3/SERPINE1/CCND1/CXCL3/CCL5/DNAJB4/BTG2/DUSP4/PTPRE/CDKN1A/GFPT2/IL23A/ABCA1/BMP2/IL1A/SOD2/KYNU/PLAU/CXCL11","HALLMARKER"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",193,0.425087054823926,1.38991590575063,0.0095412575323469,0.0477062876617345,0.036156344333104,2442,"tags=30%, list=17%, signal=25%","CCND2/NHLH2/CLCA2/TGFA/INHBB/JAG2/FGF13/RGS16/RRAD/TP63/ZBTB16/ALOX15B/BTG2/CYFIP2/FUCA1/CTSF/KRT17/TXNIP/PTPRE/CDKN1A/ZMAT3/BMP2/SERPINB5/IL1A/CASP1/MDM2/RPS27L/CDH13/GM2A/CD82/SESN1/JUN/ISCU/CCNG1/GADD45A/CTSD/APP/RETSAT/PHLDA3/ANKRA2/ABAT/PERP/TM7SF3/SAT1/MXD4/FAM162A/DRAM1/DGKA/ZFP36L1/NDRG1/HBEGF/FDXR/FBXW7/CD81/STOM/TAP1/MXD1/TCN2","HALLMARKER"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",194,-0.396747317212723,-1.32357512260073,0.0191216831089816,0.0709810813113348,0.0537961879412222,5220,"tags=48%, list=36%, signal=32%","LSM7/DUT/PPM1G/PCNA/RSL1D1/PRPF31/SYNCRIP/RPL14/CUL1/RAN/SF3B3/FAM120A/SLC25A3/POLD2/NOP56/RNPS1/EIF4A1/SNRPB2/GOT2/PWP1/XRCC6/TRIM28/RPS10/DDX18/CCT5/TRA2B/PA2G4/SERBP1/RUVBL2/HSPE1/PRPS2/MCM4/CDK2/SF3A1/HDDC2/UBE2L3/POLE3/KPNB1/RPS3/PSMB2/SNRPA1/BUB3/TFDP1/ORC2/RRP9/SRSF3/CTPS1/APEX1/AIMP2/SNRPD2/HDGF/SMARCC1/MRPL9/SRSF7/ILF2/NPM1/NOP16/SNRPD1/CSTF2/MRPL23/CDK4/PCBP1/NHP2/SRM/KPNA2/LSM2/CDC45/RFC4/HNRNPU/RANBP1/PPIA/RPS2/CAD/RRM1/SET/DEK/NOLC1/HNRNPR/HNRNPA2B1/USP1/U2AF1/HNRNPA3/MAD2L1/HNRNPD/FBL/SNRPA/MCM7/MCM6/HNRNPA1/MCM2/MCM5/CDC20/TYMS/CCNA2","HALLMARKER"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",94,-0.462842178514477,-1.37691070171486,0.0198747027671738,0.0709810813113348,0.0537961879412222,2080,"tags=24%, list=14%, signal=21%","SRF/KRT19/IDI1/ARID5B/PTK2B/CENPN/DBI/HMGCR/DHCR24/TPD52/HMGCS1/ALDH1A3/BMPR1B/FKBP5/FADS1/INSIG1/SELENOP/STEAP4/HSD17B14/SCD/IQGAP2/SPDEF/GUCY1A1","HALLMARKER"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",70,-0.500069120863198,-1.42376339854932,0.018278621580571,0.0709810813113348,0.0537961879412222,2384,"tags=39%, list=16%, signal=32%","ACSS2/NFIL3/SQLE/PPARG/LSS/IDI1/NSDHL/HSD17B7/EBP/PCYT2/FDFT1/FDPS/HMGCR/LDLR/JAG1/HMGCS1/MVK/TRIB3/DHCR7/FABP5/TMEM97/MVD/FASN/CBS/FADS2/ACAT2/SCD","HALLMARKER"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",57,-0.594272388311345,-1.63963336347994,0.00265117885601965,0.0165698678501228,0.0125582156337773,4319,"tags=63%, list=30%, signal=45%","DDX18/PA2G4/TFB2M/TBRG4/HSPE1/MCM4/IMP4/LAS1L/BYSL/EXOSC5/RABEPK/SLC19A1/RRP9/GRWD1/AIMP2/PRMT3/RCL1/NPM1/NOP16/MRTO4/PPAN/SORD/CDK4/PPRC1/SRM/UTP20/NOLC1/TCOF1/DCTPP1/NOC4L/MCM5/SLC29A2/TMEM97/PLK1/PLK4/DUSP2","HALLMARKER"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",197,-0.493117189982646,-1.64967374868411,7.64033850844504e-05,0.0010520758262627,0.000797362731483307,2472,"tags=27%, list=17%, signal=23%","SASS6/ARAP3/SMC3/INCENP/ACTN4/TUBGCP3/PLEKHG2/EPB41L2/ALMS1/CDC42EP4/SMC4/CDK1/SORBS2/NEDD9/AURKA/EZR/KIF20B/OPHN1/SAC3D1/WASF1/CENPE/FGD4/DOCK4/SMC1A/CEP131/BIRC5/PRC1/KIF22/DLGAP5/BUB1/NUSAP1/RACGAP1/CNTRL/NEK2/TOP2A/CENPF/CCNB2/ANLN/FBXO5/BRCA2/TPX2/ESPL1/SHROOM2/PLK1/PIF1/KIF11/KIF4A/CEP72/KIF2C/LMNB1/TTK/KIF15/TIAM1/NDC80","HALLMARKER"
